"county","fips","st","pct_report","total_votes","lead","state_name","Donald_Trump","Hillary_Clinton"
"Norman","27107","MN","1.0","3232","Donald Trump","Minnesota","1699","1264"
"Dimmit","48127","TX","1.0","3225","Hillary Clinton","Texas","974","2173"
"Antelope","31003","NE","1.0","3220","Donald Trump","Nebraska","2717","381"
"Pendleton","54071","WV","1.0","3212","Donald Trump","West Virginia","2388","726"
"Osceola","19143","IA","1.0","3197","Donald Trump","Iowa","2528","552"
"Reeves","48389","TX","1.0","3184","Hillary Clinton","Texas","1417","1659"
"Marion","13197","GA","1.0","3183","Donald Trump","Georgia","1921","1213"
"Lake","8065","CO","1.0","3175","Hillary Clinton","Colorado","1264","1600"
"Colfax","31037","NE","1.0","3172","Donald Trump","Nebraska","2171","857"
"Sullivan","42113","PA","1.0","3168","Donald Trump","Pennsylvania","2318","756"
"Houston","47083","TN","1.0","3165","Donald Trump","Tennessee","2180","865"
"Teton","30099","MT","1.0","3155","Donald Trump","Montana","2152","803"
"Russell","20167","KS","1.0","3148","Donald Trump","Kansas","2544","454"
"Trousdale","47169","TN","1.0","3142","Donald Trump","Tennessee","2099","943"
"Zapata","48505","TX","1.0","3134","Hillary Clinton","Texas","1028","2056"
"Pleasants","54073","WV","1.0","3130","Donald Trump","West Virginia","2342","620"
"Bland","51021","VA","1.0","3124","Donald Trump","Virginia","2572","453"
"Broadwater","30007","MT","1.0","3102","Donald Trump","Montana","2329","566"
"Pembina","38067","ND","1.0","3093","Donald Trump","North Dakota","2204","681"
"McCulloch","48307","TX","1.0","3086","Donald Trump","Texas","2546","480"
"Cherry","31031","NE","1.0","3082","Donald Trump","Nebraska","2623","317"
"Putnam","17155","IL","1.0","3076","Donald Trump","Illinois","1762","1143"
"Cumberland","21057","KY","1.0","3066","Donald Trump","Kentucky","2502","459"
"Custer","8027","CO","1.0","3064","Donald Trump","Colorado","2059","797"
"Scott","5127","AR","1.0","3038","Donald Trump","Arkansas","2378","507"
"Caribou","16029","ID","1.0","3035","Donald Trump","Idaho","2275","271"
"Nemaha","31127","NE","1.0","3035","Donald Trump","Nebraska","2068","765"
