year,count,name,percentage,total_per_year
1950,1766,Joy,0.00053006068384431467,3331694
1950,1755,Donnie,0.00052675906010576,3331694
1950,1753,Freddie,0.00052615876488056827,3331694
1950,1745,Carla,0.00052375758397980128,3331694
1950,1745,Lester,0.00052375758397980128,3331694
1950,1741,Penny,0.00052255699352941778,3331694
1950,1736,Tony,0.00052105625546643836,3331694
1950,1730,Charlie,0.00051925536979086312,3331694
1950,1724,Pauline,0.00051745448411528788,3331694
1950,1713,Esther,0.00051415286037673332,3331694
1950,1709,Christina,0.00051295226992634983,3331694
1950,1706,Jacquelyn,0.00051205182708856216,3331694
1950,1698,Janie,0.00050965064618779517,3331694
1950,1668,Renee,0.000500646217809919,3331694
1950,1655,Shelley,0.00049674429884617255,3331694
1950,1650,Priscilla,0.00049524356078319313,3331694
1950,1634,Candace,0.00049044119898165916,3331694
1950,1622,Wilma,0.00048683942763050867,3331694
1950,1618,Franklin,0.00048563883718012518,3331694
1950,1616,Belinda,0.00048503854195493343,3331694
1950,1614,Carmen,0.00048443824672974168,3331694
1950,1612,Bradley,0.00048383795150454994,3331694
1950,1609,Michelle,0.00048293750866676232,3331694
1950,1605,Eva,0.00048173691821637882,3331694
1950,1588,Neil,0.00047663440880224892,3331694
1950,1576,Ethel,0.00047303263745109844,3331694
1950,1574,Beth,0.00047243234222590669,3331694
1950,1547,Leo,0.00046432835668581811,3331694
1950,1543,Clara,0.00046312776623543461,3331694
1950,1538,Manuel,0.00046162702817245519,3331694
1950,1536,Lucille,0.00046102673294726344,3331694
1950,1536,Yolanda,0.00046102673294726344,3331694
1950,1529,Randolph,0.00045892569965909233,3331694
1950,1528,Herman,0.00045862555204649645,3331694
1950,1526,Milton,0.00045802525682130471,3331694
1950,1518,Bonita,0.00045562407592053772,3331694
1950,1517,Garry,0.00045532392830794185,3331694
1950,1515,Billie,0.0004547236330827501,3331694
1950,1514,Jonathan,0.00045442348547015423,3331694
1950,1513,Wesley,0.00045412333785755835,3331694
1950,1512,Bobbie,0.00045382319024496248,3331694
1950,1509,Gladys,0.00045292274740717486,3331694
1950,1502,Arnold,0.00045082171411900374,3331694
1950,1494,Grace,0.00044842053321823676,3331694
1950,1473,Rick,0.00044211743335372336,3331694
1950,1466,Marc,0.00044001640006555224,3331694
1950,1463,Kerry,0.00043911595722776462,3331694
1950,1450,Margie,0.00043521403826401827,3331694
1950,1450,Cindy,0.00043521403826401827,3331694
1950,1443,Rachel,0.0004331130049758471,3331694
1950,1442,Dianna,0.00043281285736325122,3331694
1950,1430,Thelma,0.00042921108601210074,3331694
1950,1427,Florence,0.00042831064317431312,3331694
1950,1383,Dawn,0.00041510414822009463,3331694
1950,1377,Chris,0.00041330326254451939,3331694
1950,1369,Marianne,0.0004109020816437524,3331694
1950,1368,Veronica,0.00041060193403115653,3331694
1950,1365,Laurie,0.00040970149119336891,3331694
1950,1364,Bertha,0.00040940134358077304,3331694
1950,1360,Chester,0.00040820075313038954,3331694
1950,1355,Eleanor,0.00040670001506741018,3331694
1950,1350,Ella,0.00040519927700443075,3331694
1950,1332,Ted,0.00039979661997770503,3331694
1950,1322,Cecil,0.0003967951438517463,3331694
1950,1311,Maryann,0.00039349352011319169,3331694
1950,1298,Lillie,0.00038959160114944528,3331694
1950,1297,Lana,0.0003892914535368494,3331694
1950,1290,Emily,0.00038719042024867829,3331694
1950,1284,Reginald,0.00038538953457310305,3331694
1950,1281,Bernice,0.00038448909173531543,3331694
1950,1281,Rickey,0.00038448909173531543,3331694
1950,1280,Matthew,0.00038418894412271955,3331694
1950,1277,Karl,0.00038328850128493193,3331694
1950,1270,Lucy,0.00038118746799676082,3331694
1950,1268,Toni,0.00038058717277156907,3331694
1950,1248,Faye,0.00037458422051965155,3331694
1950,1244,Beatrice,0.00037338363006926805,3331694
1950,1244,Marian,0.00037338363006926805,3331694
1950,1239,Terrence,0.00037188289200628869,3331694
1950,1232,Maxine,0.00036978185871811757,3331694
