"year","name","primarykey","rank","citizenship","countrycode","networthusbillion","selfmade","typeofwealth","gender","age","industry","IndustryAggregates","region","north","politicalconnection","founder","generationofinheritance","sector","company","companytype","relationshiptocompany","foundingdate","gdpcurrentus","sourceofwealth","notes","notes2","source","source_2","source_3","source_4","window","column1"
"2014","Rupert Murdoch","rupert murdoch","78","United States","USA","13.5","inherited","inherited","male","82","Media","Non-Traded Sectors","North America","1","","0","inherited from father","media","News Limited","new","relation","1923","","media","inherited from father","","http://en.wikipedia.org/wiki/Rupert_Murdoch","The story on Rupert: A new biography of media mogul Rupert Murdoch delivers all the news that's fit to print - and some controversial dirt, too Newsday (New York) December 14, 2008 Sunday","","","rupert johnson jr","false"
"2014","Ryan Kavanaugh","ryan kavanaugh","1565","United States","USA","1","self-made","founder non-finance","male","39","Media","Non-Traded Sectors","North America","1","","1","0","film","Relativity Media","new","founder","2004","","Movies","","","http://en.wikipedia.org/wiki/Ryan_Kavanaugh","http://en.wikipedia.org/wiki/Relativity_Media","http://www.vanityfair.com/news/2010/03/kavanaugh-201003","","rupert murdoch","false"
"2014","S. Curtis Johnson","s curtis johnson","551","United States","USA","3","inherited","inherited","male","58","Consumer","Traded Sectors","North America","1","","0","Fifth generation or longer","cleaning supplies","S. C. Johnson & Son","new","relation","1886","","cleaning products","5th generation","","http://en.wikipedia.org/wiki/Herbert_Fisk_Johnson_III","http://en.wikipedia.org/wiki/S._C._Johnson_%26_Son","http://www.forbes.com/profile/h-fisk-johnson/","","ryan kavanaugh","false"
"2014","S. Daniel Abraham","s daniel abraham","925","United States","USA","2","self-made","founder non-finance","male","89","Consumer","Traded Sectors","North America","1","","1","0","beverages","Slim-Fast","new","founder","1940","","Slim-Fast","","","http://en.wikipedia.org/wiki/S._Daniel_Abraham","UNILEVER ACQUIRES SLIMFAST The Miami Herald April 13, 2000 Thursday FINAL EDITION","","","s curtis johnson","false"
"2001","S Robson Walton","s robson walton","9","United States","USA","18.6","inherited","inherited","male","57","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","inherited from father","retail","Walmart"," new","relation","1962","10621800000000","","inherited from father","chairman walmart","http://www.forbes.com/profile/s-robson-walton/","","","","s daniel abraham","false"
"2014","S. Truett Cathy","s truett cathy","224","United States","USA","6.2","self-made","founder non-finance","male","92","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","restaurants","Chick-fil-A","new","founder","1946","","Chick-fil-A","","","http://en.wikipedia.org/wiki/S._Truett_Cathy","http://www.usatoday.com/story/news/nation/2014/09/08/chick-fil-a-founder-s-truett-cathy-dies/15270625/","","","s robson walton","false"
"1996","Sam Zell","sam zell","346","United States","USA","1.2","self-made","self-made finance","male","54","Real Estate","Financial","North America","1","","0","0","real estate","Equity Group Investments","new","founder","1968","8100200000000","real estate, private equity","","","http://egizell.com/history.html","HERE'S THE DEAL; HOW SAM ZELL BEAT A TAX-FRAUD RAP AND ROSE TO THE TOP OF THE REAL ESTATE WORLD Chicago Tribune July 25, 2004 Sunday","","","s truett cathy","false"
"2001","Samuel Johnson","samuel johnson","82","United States","USA","4.5","inherited","inherited","male","72","Consumer","Traded Sectors","North America","1","","0","Fifth generation or longer","cleaning supplies","S. C. Johnson & Son","new","relation","1886","10621800000000","","5th generation","","http://en.wikipedia.org/wiki/Herbert_Fisk_Johnson_III","http://en.wikipedia.org/wiki/S._C._Johnson_%26_Son","http://www.forbes.com/profile/h-fisk-johnson/","","sam zell","false"
"2001","Samuel LeFrak","samuel lefrak","174","United States","USA","2.7","inherited","inherited","male","","Real Estate","Financial","North America","1","","0","Third generation","real estate","LeFrack ","new","relation","1905","10621800000000","","3rd generation","","http://en.wikipedia.org/wiki/Samuel_J._LeFrak","http://www.nytimes.com/2003/04/17/obituaries/17LEFR.html?pagewanted=all","","","samuel johnson","false"
"2001","Samuel Newhouse","samuel newhouse","70","United States","USA","5","inherited","inherited","male","73","Media","Non-Traded Sectors","North America","1","","0","inherited from father","media","Advance Publications","new","relation","1909","10621800000000","","inherited from father","","Reign of a magazine legend is ending with a Si The New York Post December 22, 2013 Sunday","","","","samuel lefrak","false"
"2014","Samuel Newhouse, Jr.","samuel newhouse jr","132","United States","USA","9.3","inherited","inherited","male","86","Media","Non-Traded Sectors","North America","1","","0","inherited from father","media","Advance Publications","new","relation","1909","","media","inherited from father","","http://en.wikipedia.org/wiki/Samuel_Irving_Newhouse,_Jr.","Reign of a magazine legend is ending with a Si The New York Post December 22, 2013 Sunday","","","samuel newhouse","false"
"2001","Sanford Weill","sanford weill","312","United States","USA","1.6","self-made","self-made finance","male","68","Money Management","Financial","North America","1","","1","0","stock broker"," Cogan, Berlind, Weill & Levitt","new","founder","1960","10621800000000","","ties to WorldCom scandal?","","http://en.wikipedia.org/wiki/Sanford_I._Weill","http://www.forbes.com/profile/sanford-weill/","","","samuel newhouse jr","false"
"2001","Sanjiv Sidhu","sanjiv sidhu","109","United States","USA","3.7","self-made","self-made finance","male","","Money Management","Financial","North America","1","","1","0","software","i2 Technologies","new","founder","1988","10621800000000","","","","http://en.wikipedia.org/wiki/Sanjiv_Sidhu","Founder returns as chief executive of i2;After 11 months, Sanjiv Sidhu steps in after official resigns The Dallas Morning News April 16, 2002, Tuesday","","","sanford weill","false"
"2014","Sara Blakely","sara blakely","1565","United States","USA","1","self-made","founder non-finance","female","43","Consumer","Traded Sectors","North America","1","","1","0","apparel","Spanx","new","founder","2000","","Spanx","","","http://en.wikipedia.org/wiki/Spanx","http://www.wsj.com/articles/a-day-in-the-life-of-spanxs-founder-sara-blakely-1408032515","","","sanjiv sidhu","false"
"2014","Scott Cook","scott cook","1092","United States","USA","1.6","self-made","founder non-finance","male","61","Technology-Computer","New Sectors","North America","1","","1","0","software","Intuit","new","founder","1983","","software","","","http://en.wikipedia.org/wiki/Scott_Cook","http://www.bloomberg.com/research/stocks/people/person.asp?personId=649914&privcapId=21171","","","sara blakely","false"
"2014","Scott Duncan","scott duncan","215","United States","USA","6.3","inherited","inherited","male","31","Non-consumer industrial","Traded Sectors","North America","1","","0","inherited from father","natural gas","Enterprise Products","new","relation","1968","","pipelines","inherited from father","","http://en.wikipedia.org/wiki/Scott_Duncan_(businessman)","http://www.forbes.com/profile/dannine-avara/","","","scott cook","false"
"2001","Scott Kriens","scott kriens","490","United States","USA","1","self-made","executive","male","","Technology-Computer","New Sectors","North America","1","","0","0","networking equipment","Juniper Networks","new","CEO","1996","10621800000000","","","","http://en.wikipedia.org/wiki/Scott_Kriens","http://en.wikipedia.org/wiki/Juniper_Networks","JUNIPER NETWORKS;On the record: Scott Kriens and Pradeep Sindhu Juniper Networks survives tech downturn, then thrives The San Francisco Chronicle MARCH 14, 2004, SUNDAY,","","scott duncan","false"
"2001","Scott McNealy","scott mcnealy","292","United States","USA","1.7","self-made","founder non-finance","male","","Technology-Computer","New Sectors","North America","1","","1","0","microchips","Sun Microsystems","new","founder","1982","10621800000000","","","","http://en.wikipedia.org/wiki/Scott_McNealy","http://fortune.com/2015/05/22/scott-mcnealy-wayin/","","","scott kriens","false"
"2014","Sean Parker","sean parker","663","United States","USA","2.6","self-made","founder non-finance","male","34","Technology-Computer","New Sectors","North America","1","","1","0","internet companies","Napster, Plaxo, Airtime","new","founder","1999","","Facebook","also first president of Facebook","","http://en.wikipedia.org/wiki/Sean_Parker","Napster founder sets out to disrupt philanthropy; Sean Parker is planning to spend his fortune on ventures with big ideas; Sean Parker plans to spend his fortune disrupting philanthropy The San Francisco Chronicle (California) June 24, 2015 Wednesday","","","scott mcnealy","false"
"2014","Sergey Brin","sergey brin","19","United States","USA","31.8","self-made","founder non-finance","male","40","Technology-Computer","New Sectors","North America","1","","1","0"," technology","Google"," new","founder","1998","","Google","","","http://www.forbes.com/profile/larry-page/","","","","sean parker","false"
