"id","first_name","last_name","party","seniority","state","missed_votes_pct","votes_with_party_pct","congress"
"W000154","John","Warner","R",13,"VA",2.18,87.17,102
"W000288","Paul","Wellstone","D",1,"MN",3.27,85.15,102
"W000607","Pete","Wilson","R",8,"CA",0,0,102
"W000647","Timothy","Wirth","D",5,"CO",12.55,83.37,102
"W000665","Harris","Wofford","D",1,"PA",4.84,89.41,102
"A000069","Daniel","Akaka","D",3,"HI",0,92.7,103
"B000243","Max","Baucus","D",15,"MT",2.62,86.7,103
"B000382","Robert","Bennett","R",1,"UT",3.86,91.12,103
"B000401","Lloyd","Bentsen","D",23,"TX",0,0,103
"B000444","Joseph","Biden Jr.","D",21,"DE",4.27,90.36,103
"B000468","Jeff","Bingaman","D",11,"NM",1.1,84.82,103
"B000611","Christopher","Bond","R",7,"MO",3.72,85.41,103
"B000639","David","Boren","D",15,"OK",4.83,82.87,103
"B000711","Barbara","Boxer","D",1,"CA",1.65,89.22,103
"B000780","John","Breaux","D",7,"LA",3.31,84.19,103
"B000919","Hank","Brown","R",3,"CO",0.41,82.85,103
"B000993","Richard","Bryan","D",5,"NV",1.1,86.07,103
"B001057","Dale","Bumpers","D",19,"AR",1.79,88.22,103
"B001126","Conrad","Burns","R",5,"MT",0.96,88.6,103
"B001210","Robert","Byrd","D",35,"WV",0,83.33,103
"B001225","William","Bradley","D",15,"NJ",4.68,85.98,103
"C000077","Ben","Campbell","D",1,"CO",4.82,83.21,103
"C000269","John","Chafee","R",17,"RI",3.72,65.67,103
"C000542","Daniel","Coats","R",5,"IN",1.24,87.17,103
"C000567","Thad","Cochran","R",15,"MS",1.24,88.15,103
"C000598","William","Cohen","R",15,"ME",2.75,75.64,103
"C000705","Kent","Conrad","D",7,"ND",0.83,83.33,103
"C000813","Paul","Coverdell","R",1,"GA",3.31,90.31,103
"C000858","Larry","Craig","R",3,"ID",0.96,89.71,103
"D000018","Alfonse","D&#x27;Amato","R",13,"NY",3.03,84.23,103
"D000030","John","Danforth","R",17,"MO",2.48,76.41,103
"D000064","Thomas","Daschle","D",7,"SD",0.55,90.44,103
"D000185","Dennis","DeConcini","D",17,"AZ",2.62,83.17,103
"D000388","Christopher","Dodd","D",13,"CT",3.86,90.69,103
"D000401","Robert","Dole","R",25,"KS",1.38,92.32,103
"D000407","Pete","Domenici","R",21,"NM",2.2,85.49,103
"D000432","Byron","Dorgan","D",1,"ND",4.55,83.55,103
"D000566","David","Durenberger","R",15,"MN",6.2,70.19,103
"E000284","J. James","Exon","D",15,"NE",0.83,79.86,103
"F000061","Russ","Feingold","D",1,"WI",0,79.75,103
"F000062","Dianne","Feinstein","D",1,"CA",1.93,88.34,103
"F000268","Wendell","Ford","D",19,"KY",0.41,87.41,103
"F000437","Lauch","Faircloth","R",1,"NC",2.07,84.53,103
"G000236","John","Glenn Jr.","D",19,"OH",1.1,89.55,103
"G000333","Slade","Gorton","R",11,"WA",0.41,83.4,103
"G000352","Bob","Graham","D",7,"FL",0.41,87.14,103
"G000365","Phil","Gramm","R",9,"TX",8.26,89.79,103
"G000386","Charles","Grassley","R",13,"IA",0.55,86.98,103
"G000445","Judd","Gregg","R",1,"NH",2.62,82.46,103
"H000206","Tom","Harkin","D",9,"IA",3.03,89.77,103
"H000338","Orrin","Hatch","R",17,"UT",1.38,91.76,103
"H000343","Mark","Hatfield","R",27,"OR",3.86,60.03,103
"H000445","Howell","Heflin","D",15,"AL",4.41,73.34,103
"H000463","Jesse","Helms","R",21,"NC",6.34,82.21,103
"H000725","Ernest","Hollings","D",27,"SC",3.44,82.17,103
"H001016","Kay","Hutchison","R",1,"TX",4.5,88.59,103
"I000024","James","Inhofe","R",1,"OK",0,0,103
"I000025","Daniel","Inouye","D",25,"HI",9.37,90.88,103
"J000072","James","Jeffords","R",5,"VT",2.75,56.66,103
"J000189","John","Johnston","D",21,"LA",3.17,84.07,103
"K000017","Nancy","Kassebaum","R",15,"KS",2.2,78.17,103
"K000088","Dirk","Kempthorne","R",1,"ID",0.41,90.32,103
"K000105","Edward","Kennedy","D",31,"MA",3.17,92.32,103
"K000146","J. Robert","Kerrey","D",5,"NE",1.24,84.1,103
"K000148","John","Kerry","D",9,"MA",0.41,91.84,103
"K000305","Herb","Kohl","D",5,"WI",0,79.48,103
"K000333","Robert","Krueger","D",1,"TX",26.35,77.98,103
"L000123","Frank","Lautenberg","D",11,"NJ",0.69,84.19,103
"L000174","Patrick","Leahy","D",19,"VT",0.96,90.96,103
"L000261","Carl","Levin","D",15,"MI",0.14,91.31,103
"L000304","Joseph","Lieberman","D",5,"CT",1.38,83.94,103
"L000447","Trent","Lott","R",5,"MS",3.17,90.61,103
"L000504","Richard","Lugar","R",17,"IN",0.69,85.3,103
"M000019","Connie","Mack","R",5,"FL",0.41,88.52,103
"M000236","Harlan","Mathews","D",1,"TN",1.38,86.73,103
"M000303","John","McCain","R",7,"AZ",4.82,84.8,103
"M000355","Mitch","McConnell","R",9,"KY",1.65,90.34,103
"M000678","Howard","Metzenbaum","D",19,"OH",4.13,86.64,103
"M000702","Barbara","Mikulski","D",7,"MD",2.2,91.13,103
"M000811","George","Mitchell","D",13,"ME",0,93.94,103
"M001025","Carol","Moseley-Braun","D",1,"IL",2.62,90.1,103
"M001054","Daniel","Moynihan","D",17,"NY",0.14,90.07,103
"M001085","Frank","Murkowski","R",13,"AK",7.71,88.81,103
"M001111","Patty","Murray","D",1,"WA",5.37,92.29,103
"N000102","Don","Nickles","R",13,"OK",2.07,86.78,103
"N000171","Samuel","Nunn","D",21,"GA",3.99,78.05,103
